1,2,3,4,5,6,7,8,9,10,11,12,13,14
202,15,1000,0,1e-06,5,0.005,5e-05,5e-07,0.6,0.2,0.2,152.1,-0.27216
203,15,1000,0,1e-06,5,0.005,5e-05,5e-07,0.7,0.15,0.15,116.64,-0.035786
204,15,1000,0,1e-06,5,0.005,5e-05,5e-07,0.8,0.1,0.1,51.183,0.49281
205,15,1000,0,1e-06,6,0.005,5e-05,5e-07,0.5,0.25,0.25,43.663,0.60598
206,15,1000,0,1e-06,6,0.005,5e-05,5e-07,0.6,0.2,0.2,67.476,0.18452
207,15,1000,0,1e-06,6,0.005,5e-05,5e-07,0.7,0.15,0.15,68.623,0.49201
208,15,1000,0,1e-06,6,0.005,5e-05,5e-07,0.8,0.1,0.1,56.951,0.47186
209,15,1000,0,1e-06,7,0.005,5e-05,5e-07,0.5,0.25,0.25,55.279,0.39945
210,15,1000,0,1e-06,7,0.005,5e-05,5e-07,0.6,0.2,0.2,171.69,0.050259
211,15,1000,0,1e-06,7,0.005,5e-05,5e-07,0.7,0.15,0.15,65.392,0.55264
212,15,1000,0,1e-06,7,0.005,5e-05,5e-07,0.8,0.1,0.1,253.25,-0.38235
213,15,1000,0,1e-06,8,0.005,5e-05,5e-07,0.5,0.25,0.25,446.08,-0.48048
214,15,1000,0,1e-06,8,0.005,5e-05,5e-07,0.6,0.2,0.2,33.48,0.75166
215,15,1000,0,1e-06,8,0.005,5e-05,5e-07,0.7,0.15,0.15,201.62,-0.09273
216,15,1000,0,1e-06,8,0.005,5e-05,5e-07,0.8,0.1,0.1,61.557,0.51992
217,15,1000,0,1e-06,9,0.005,5e-05,5e-07,0.5,0.25,0.25,80.263,0.16153
218,15,1000,0,1e-06,9,0.005,5e-05,5e-07,0.6,0.2,0.2,682.35,-0.33361
219,15,1000,0,1e-06,9,0.005,5e-05,5e-07,0.7,0.15,0.15,78.937,-0.18391
220,15,1000,0,1e-06,9,0.005,5e-05,5e-07,0.8,0.1,0.1,30.324,0.71141
221,15,1000,0,1e-06,10,0.005,5e-05,5e-07,0.5,0.25,0.25,110.31,-0.28275
222,15,1000,0,1e-06,10,0.005,5e-05,5e-07,0.6,0.2,0.2,257.13,-0.40976
223,15,1000,0,1e-06,10,0.005,5e-05,5e-07,0.7,0.15,0.15,37.45,0.70343
224,15,1000,0,1e-06,10,0.005,5e-05,5e-07,0.8,0.1,0.1,119.34,0.26289
225,16,1000,0,1e-06,4,0.005,5e-05,5e-07,0.5,0.25,0.25,92.417,0.39297
226,16,1000,0,1e-06,4,0.005,5e-05,5e-07,0.6,0.2,0.2,74.922,0.1169
227,16,1000,0,1e-06,4,0.005,5e-05,5e-07,0.7,0.15,0.15,38.353,0.67082
228,16,1000,0,1e-06,4,0.005,5e-05,5e-07,0.8,0.1,0.1,61.998,0.41657
229,16,1000,0,1e-06,5,0.005,5e-05,5e-07,0.5,0.25,0.25,84.832,-0.1627
230,16,1000,0,1e-06,5,0.005,5e-05,5e-07,0.6,0.2,0.2,76.703,-0.0059254
231,16,1000,0,1e-06,5,0.005,5e-05,5e-07,0.7,0.15,0.15,118.23,-0.081118
232,16,1000,0,1e-06,5,0.005,5e-05,5e-07,0.8,0.1,0.1,145.3,-0.2604
233,16,1000,0,1e-06,6,0.005,5e-05,5e-07,0.5,0.25,0.25,91.802,0.51875
234,16,1000,0,1e-06,6,0.005,5e-05,5e-07,0.6,0.2,0.2,106.3,-0.052508
235,16,1000,0,1e-06,6,0.005,5e-05,5e-07,0.7,0.15,0.15,240.81,-0.13074
236,16,1000,0,1e-06,6,0.005,5e-05,5e-07,0.8,0.1,0.1,73.789,0.096022
237,16,1000,0,1e-06,7,0.005,5e-05,5e-07,0.5,0.25,0.25,70.083,0.31705
238,16,1000,0,1e-06,7,0.005,5e-05,5e-07,0.6,0.2,0.2,42.782,0.63149
239,16,1000,0,1e-06,7,0.005,5e-05,5e-07,0.7,0.15,0.15,127.31,-0.065812
240,16,1000,0,1e-06,7,0.005,5e-05,5e-07,0.8,0.1,0.1,167.41,-0.39476
241,16,1000,0,1e-06,8,0.005,5e-05,5e-07,0.5,0.25,0.25,70.971,0.38169
242,16,1000,0,1e-06,8,0.005,5e-05,5e-07,0.6,0.2,0.2,53.139,0.43355
243,16,1000,0,1e-06,8,0.005,5e-05,5e-07,0.7,0.15,0.15,69.027,0.43445
244,16,1000,0,1e-06,8,0.005,5e-05,5e-07,0.8,0.1,0.1,603.76,-0.36109
245,16,1000,0,1e-06,9,0.005,5e-05,5e-07,0.5,0.25,0.25,264.44,-0.039153
246,16,1000,0,1e-06,9,0.005,5e-05,5e-07,0.6,0.2,0.2,210.33,-0.0022942
247,16,1000,0,1e-06,9,0.005,5e-05,5e-07,0.7,0.15,0.15,46.891,0.58271
248,16,1000,0,1e-06,9,0.005,5e-05,5e-07,0.8,0.1,0.1,98.223,0.024827
